PERMNO,date,TICKER,COMNAM,PRC,RET,CFACPR
91103,20070223,UAUA,U A L CORP,42.74000,-0.014980,1
91103,20070226,UAUA,U A L CORP,42.15500,-0.013687,1
91103,20070227,UAUA,U A L CORP,40.02000,-0.050646,1
91103,20070228,UAUA,U A L CORP,39.99000,-0.000750,1
91103,20070301,UAUA,U A L CORP,39.98000,-0.000250,1
91103,20070302,UAUA,U A L CORP,39.07000,-0.022761,1
91103,20070305,UAUA,U A L CORP,38.45000,-0.015869,1
91103,20070306,UAUA,U A L CORP,39.20000,0.019506,1
91103,20070307,UAUA,U A L CORP,38.83000,-0.009439,1
91103,20070308,UAUA,U A L CORP,38.21000,-0.015967,1
91103,20070309,UAUA,U A L CORP,38.45000,0.006281,1
91103,20070312,UAUA,U A L CORP,39.98000,0.039792,1
91103,20070313,UAUA,U A L CORP,38.87000,-0.027764,1
91103,20070314,UAUA,U A L CORP,37.82000,-0.027013,1
91103,20070315,UAUA,U A L CORP,38.90000,0.028556,1
91103,20070316,UAUA,U A L CORP,38.46000,-0.011311,1
91103,20070319,UAUA,U A L CORP,39.81000,0.035101,1
91103,20070320,UAUA,U A L CORP,40.21000,0.010048,1
91103,20070321,UAUA,U A L CORP,41.47000,0.031336,1
91103,20070322,UAUA,U A L CORP,39.70000,-0.042681,1
91103,20070323,UAUA,U A L CORP,39.41000,-0.007305,1
91103,20070326,UAUA,U A L CORP,38.32000,-0.027658,1
91103,20070327,UAUA,U A L CORP,38.36000,0.001044,1
91103,20070328,UAUA,U A L CORP,38.11000,-0.006517,1
91103,20070329,UAUA,U A L CORP,38.04000,-0.001837,1
91103,20070330,UAUA,U A L CORP,38.17000,0.003417,1
91103,20070402,UAUA,U A L CORP,38.35000,0.004716,1
91103,20070403,UAUA,U A L CORP,40.17000,0.047458,1
91103,20070404,UAUA,U A L CORP,40.05000,-0.002987,1
91103,20070405,UAUA,U A L CORP,40.94000,0.022222,1
91103,20070409,UAUA,U A L CORP,42.31000,0.033464,1
91103,20070410,UAUA,U A L CORP,41.90000,-0.009690,1
91103,20070411,UAUA,U A L CORP,42.57000,0.015990,1
91103,20070412,UAUA,U A L CORP,42.25000,-0.007517,1
91103,20070413,UAUA,U A L CORP,42.17000,-0.001894,1
91103,20070416,UAUA,U A L CORP,42.77000,0.014228,1
91103,20070417,UAUA,U A L CORP,43.33000,0.013093,1
91103,20070418,UAUA,U A L CORP,44.23000,0.020771,1
91103,20070419,UAUA,U A L CORP,42.78000,-0.032783,1
91103,20070420,UAUA,U A L CORP,40.85000,-0.045115,1
91103,20070423,UAUA,U A L CORP,39.40000,-0.035496,1
91103,20070424,UAUA,U A L CORP,39.16000,-0.006091,1
91103,20070425,UAUA,U A L CORP,38.28000,-0.022472,1
91103,20070426,UAUA,U A L CORP,36.95010,-0.034741,1
91103,20070427,UAUA,U A L CORP,34.01010,-0.079567,1
91103,20070430,UAUA,U A L CORP,33.40000,-0.017939,1
91103,20070501,UAUA,U A L CORP,33.20000,-0.005988,1
91103,20070502,UAUA,U A L CORP,33.76000,0.016867,1
91103,20070503,UAUA,U A L CORP,33.55000,-0.006220,1
91103,20070504,UAUA,U A L CORP,35.57000,0.060209,1
91103,20070507,UAUA,U A L CORP,35.47000,-0.002811,1
91103,20070508,UAUA,U A L CORP,35.78000,0.008740,1
91103,20070509,UAUA,U A L CORP,35.25000,-0.014813,1
91103,20070510,UAUA,U A L CORP,34.61000,-0.018156,1
91103,20070511,UAUA,U A L CORP,34.72000,0.003178,1
91103,20070514,UAUA,U A L CORP,33.77000,-0.027362,1
91103,20070515,UAUA,U A L CORP,33.30000,-0.013918,1
91103,20070516,UAUA,U A L CORP,34.62000,0.039640,1
91103,20070517,UAUA,U A L CORP,35.63000,0.029174,1
91103,20070518,UAUA,U A L CORP,35.78000,0.004210,1
91103,20070521,UAUA,U A L CORP,35.61000,-0.004751,1
91103,20070522,UAUA,U A L CORP,36.80000,0.033418,1
91103,20070523,UAUA,U A L CORP,37.08000,0.007609,1
91103,20070524,UAUA,U A L CORP,37.77000,0.018608,1
91103,20070525,UAUA,U A L CORP,38.12000,0.009267,1
91103,20070529,UAUA,U A L CORP,38.98000,0.022560,1
91103,20070530,UAUA,U A L CORP,39.32000,0.008722,1
91103,20070531,UAUA,U A L CORP,39.26000,-0.001526,1
91103,20070601,UAUA,U A L CORP,38.78000,-0.012226,1
91103,20070604,UAUA,U A L CORP,36.21000,-0.066271,1
91103,20070605,UAUA,U A L CORP,36.77000,0.015465,1
91103,20070606,UAUA,U A L CORP,36.36000,-0.011150,1
91103,20070607,UAUA,U A L CORP,35.11000,-0.034378,1
91103,20070608,UAUA,U A L CORP,36.07000,0.027343,1
91103,20070611,UAUA,U A L CORP,35.40000,-0.018575,1
91103,20070612,UAUA,U A L CORP,34.60000,-0.022599,1
91103,20070613,UAUA,U A L CORP,35.03000,0.012428,1
91103,20070614,UAUA,U A L CORP,35.79000,0.021696,1
91103,20070615,UAUA,U A L CORP,35.76000,-0.000838,1
91103,20070618,UAUA,U A L CORP,35.33000,-0.012025,1
91103,20070619,UAUA,U A L CORP,37.93000,0.073592,1
91103,20070620,UAUA,U A L CORP,38.67000,0.019510,1
91103,20070621,UAUA,U A L CORP,39.35000,0.017585,1
91103,20070622,UAUA,U A L CORP,39.37000,0.000508,1
91103,20070625,UAUA,U A L CORP,38.96000,-0.010414,1
91103,20070626,UAUA,U A L CORP,38.61000,-0.008984,1
91103,20070627,UAUA,U A L CORP,38.95000,0.008806,1
91103,20070628,UAUA,U A L CORP,40.63000,0.043132,1
91103,20070629,UAUA,U A L CORP,40.59000,-0.000985,1
91103,20070702,UAUA,U A L CORP,41.13000,0.013304,1
91103,20070703,UAUA,U A L CORP,42.10000,0.023584,1
91103,20070705,UAUA,U A L CORP,44.20000,0.049881,1
91103,20070706,UAUA,U A L CORP,44.94000,0.016742,1
91103,20070709,UAUA,U A L CORP,44.86000,-0.001780,1
91103,20070710,UAUA,U A L CORP,43.64000,-0.027196,1
91103,20070711,UAUA,U A L CORP,42.94000,-0.016040,1
91103,20070712,UAUA,U A L CORP,43.06000,0.002795,1
91103,20070713,UAUA,U A L CORP,43.08000,0.000464,1
91103,20070716,UAUA,U A L CORP,44.50000,0.032962,1
91103,20070717,UAUA,U A L CORP,45.77000,0.028539,1
91103,20070718,UAUA,U A L CORP,47.28000,0.032991,1
91103,20070719,UAUA,U A L CORP,46.93000,-0.007403,1
91103,20070720,UAUA,U A L CORP,47.18000,0.005327,1
91103,20070723,UAUA,U A L CORP,47.24000,0.001272,1
91103,20070724,UAUA,U A L CORP,49.23000,0.042125,1
91103,20070725,UAUA,U A L CORP,48.22000,-0.020516,1
91103,20070726,UAUA,U A L CORP,46.56000,-0.034426,1
91103,20070727,UAUA,U A L CORP,45.55000,-0.021692,1
91103,20070730,UAUA,U A L CORP,45.30000,-0.005488,1
91103,20070731,UAUA,U A L CORP,44.14000,-0.025607,1
91103,20070801,UAUA,U A L CORP,44.44000,0.006797,1
91103,20070802,UAUA,U A L CORP,45.64000,0.027003,1
91103,20070803,UAUA,U A L CORP,44.81000,-0.018186,1
91103,20070806,UAUA,U A L CORP,43.48000,-0.029681,1
91103,20070807,UAUA,U A L CORP,43.45000,-0.000690,1
91103,20070808,UAUA,U A L CORP,46.12000,0.061450,1
91103,20070809,UAUA,U A L CORP,43.82000,-0.049870,1
91103,20070810,UAUA,U A L CORP,42.63000,-0.027157,1
91103,20070813,UAUA,U A L CORP,42.46000,-0.003988,1
91103,20070814,UAUA,U A L CORP,41.67000,-0.018606,1
